Movie,Date,Time,Tickets
LOS SURES,"Thursday, February 19",6:40,https://my.filmforum.org/events/los-sures-tene
LOS SURES,"Saturday, February 21",12:15,https://my.filmforum.org/events/los-sures-tene
THE LANDLORD,"Friday, February 20",3:40,https://my.filmforum.org/events/the-landlord-tene
THE LANDLORD,"Saturday, February 21",6:10,https://my.filmforum.org/events/the-landlord-tene
THE LANDLORD,"Thursday, February 26",4:50,https://my.filmforum.org/events/the-landlord-tene
"SWEET LOVE, BITTER","Friday, February 20",6:00,https://my.filmforum.org/events/sweet-love-bitter
"SWEET LOVE, BITTER","Saturday, February 21",1:45,https://my.filmforum.org/events/sweet-love-bitter
THE ASPHALT JUNGLE,"Saturday, February 21",3:45,https://my.filmforum.org/events/the-asphalt-jungle-tene
THE ASPHALT JUNGLE,"Tuesday, February 24",3:20,https://my.filmforum.org/events/the-asphalt-jungle-tene
TAXI DRIVER,"Saturday, February 21",8:30,https://my.filmforum.org/events/taxi-driver-tene
TAXI DRIVER,"Tuesday, February 24",8:20,https://my.filmforum.org/events/taxi-driver-tene
LITTLE ANNIE ROONEY,"Sunday, February 22",11:00 – FF Jr.,https://my.filmforum.org/little-annie-rooney-ffjr
UNCLE MOSES,"Sunday, February 22",1:00,https://my.filmforum.org/events/uncle-moses-tene
HIS PEOPLE,"Sunday, February 22",3:20,https://my.filmforum.org/events/his-people
A TREE GROWS IN BROOKLYN,"Sunday, February 22",5:40,https://my.filmforum.org/events/a-tree-grows-in-brooklyn
A TREE GROWS IN BROOKLYN,"Monday, February 23",12:15,https://my.filmforum.org/events/a-tree-grows-in-brooklyn
A RAISIN IN THE SUN,"Sunday, February 22",8:30,https://my.filmforum.org/events/a-raisin-in-the-sun-tene
A RAISIN IN THE SUN,"Monday, February 23",3:00,https://my.filmforum.org/events/a-raisin-in-the-sun-tene
SHOES,"Monday, February 23",7:15,https://my.filmforum.org/events/shoes
MANHATTAN BY NUMBERS,"Tuesday, February 24",6:00,https://my.filmforum.org/events/manhattan-by-numbers-tene
MANHATTAN BY NUMBERS,"Thursday, February 26",2:30,https://my.filmforum.org/events/manhattan-by-numbers-tene
THE ILLEGAL IMMIGRANT,"Wednesday, February 25",12:15   8:10,https://my.filmforum.org/events/the-illegal-immigrant
THE ILLEGAL IMMIGRANT,"Thursday, February 26",12:20,https://my.filmforum.org/events/the-illegal-immigrant
THE GODFATHER PART II,"Wednesday, February 25",2:20,https://my.filmforum.org/events/the-godfather-part-2-tene
THE GODFATHER PART II,"Thursday, February 26",7:10,https://my.filmforum.org/events/the-godfather-part-2-tene
REGENERATION,"Wednesday, February 25",6:10,https://my.filmforum.org/events/regeneration-tene
